,ID,BoroCode,Borough,CD,CDName,TaxBlock,TaxLot,FacName,FacAddress,ZipCode,FacType,FT_Decode,FT_Report,FT_Map,GroupType,GroupType_Decode,NewGroupType,NewGroupType_Decode,NewSgroup,NewSgroup_Decode,NewFacType,NewFT_Decode,Sgroup,Sgroup_Decode,Capacity,CapType,CT_Decode,CT_Report,Acreage,PKtoG8,G9toG12,AgencyOper,NewAgencyOper_Decode,AgencyOper_Report,AgencyOver,NewAgencyOver_Decode,AgencyOver_Report,CT2010,Tract2010,CouncilDis,SchoolDist,PolicePrct,HealthArea,BBL,XCoord,YCoord,SvcArea,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip
17868,4100DC22589,3,BK,317,BROOKLYN COMMUNITY DISTRICT 17,4750,38,"READY SET LEARN CHILD CARE, INC.",9010 Ave A,11236,4102,Group Day Care - Private,Group Day Care - Private,Group Day Care - Private,8,DAYCARE AND RESIDENTIAL FACILITIES FOR CHILDREN,5,Housing & Social Service Facilities,5b,Childcare Facilities,5b02,Group Day Care - Private,82,Daycare and Headstart Facilities,24,1,Day Care or Head Start Center Capacity,Children,NA,NA,NA,90,Proprietary,Private,14,NYC Department of Health & Mental Hygiene ,NYC DOHMH,930,930,42,18,67,7510,3047500038,1007082,176529,L,40.65120771,-73.91805863,0.9,range_interpolation,9010,Ave A,Brooklyn,NY,Kings County,11236
18636,4100DC32497,3,BK,302,BROOKLYN COMMUNITY DISTRICT 2,169,9,NY CITY EXPLORERS PRE-KADEMY INC,110 Schermerhorn St,11201,4102,Group Day Care - Private,Group Day Care - Private,Group Day Care - Private,8,DAYCARE AND RESIDENTIAL FACILITIES FOR CHILDREN,5,Housing & Social Service Facilities,5b,Childcare Facilities,5b02,Group Day Care - Private,82,Daycare and Headstart Facilities,37,1,Day Care or Head Start Center Capacity,Children,NA,NA,NA,90,Proprietary,Private,14,NYC Department of Health & Mental Hygiene ,NYC DOHMH,43,43,33,15,84,2400,3001690009,987199,190663,L,40.69008792,-73.98945854,1,rooftop,110,Schermerhorn St,Brooklyn,NY,Kings County,11201
4173,15000M108A,1,MN,111,MANHATTAN COMMUNITY DISTRICT 11,1811,21,LOUIS CUVILLIER PARK,"E.125 St., FDR Dr., 1 Ave., Paladino Ave.",NA,1511,Park/Playground - NYC,Park/Playground - NYC,NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c01,Park/Playground - NYC,22,Parklands,2.752,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,2.752,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,1018110021,1003299,231118,L,40.805737,-73.940646,1,street_center,,Dr Martin Luther King Jr Blvd,New York,NY,New York County,10035
4586,15000B390,3,BK,306,BROOKLYN COMMUNITY DISTRICT 6,341,61,MOTHER CABRINI PARK,President St. and Van Brunt St.,NA,1511,Park/Playground - NYC,Park/Playground - NYC,NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c01,Park/Playground - NYC,22,Parklands,0.467,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.467,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,3003410061,982822,188632,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
10565,15000BZ62,3,BK,317,BROOKLYN COMMUNITY DISTRICT 17,NA,NA,GREENSTREET,"Kings Highway, Clarendon Rd & 56 St",NA,1515,Joint NYCDOT/DPR Landscaped Area (Greenstreet),Joint NYCDOT/DPR Landscaped Area,Greenstreet,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c04,Joint NYCDOT/DPR Landscaped Area (Greenstreet),22,Parklands,0.057,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.057,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,24,NYC Department of Transportation ,NYC DOT,NA,NA,NA,NA,NA,NA,NA,1005194,174225,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
14848,366580110A,4,QN,404,QUEENS COMMUNITY DISTRICT 4,1500,2,ELMHURST HOSPITAL MENTAL HEALTH CLINIC,79-01 Broadway,11373,3609,Clinic Treatment - Mental Health,Clinic Treatment - Mental Health,Outp Mental Health Svc,6,MENTAL HEALTH SERVICES,4,Hospitals & Health Service Facilities,4f,Mental Health Facilities - Outpatient,4f06,Clinic Treatment,62,Mental Health Services - Non-Residential,NA,98,Unknown For This Record,NA,NA,NA,NA,91,Not For Profit,NFP,56,NYS Office of Mental Health ,NYS OMH,267,267,25,24,110,1022,4015000002,1015938,210765,L,40.74457532,-73.88611558,1,rooftop,79-001,Broadway,Elmhurst,NY,Queens County,11373
14642,357800001NL,1,MN,111,MANHATTAN COMMUNITY DISTRICT 11,1783,5,"COLUMBA SERVICES, INC",209 E. 118 St,10035,3508,Supported/Single Room Occupancy (SP-SRO) - Mental Health,Community-Based Residence - Mental Health,Res Mental Health Svc,6,MENTAL HEALTH SERVICES,4,Hospitals & Health Service Facilities,4e,Mental Health Facilities - Inpatient,4.00E+06,Supported/Single Room Occupancy (SP-SRO),61,Mental Health Services - Residential,260,2,Certified Hospital Beds or Residential or Correctional Facility Beds,Beds,NA,NA,NA,91,Not For Profit,NFP,56,NYS Office of Mental Health ,NYS OMH,188,188,8,4,25,2100,1017830005,1001323,230451,R,40.79911278,-73.93847076,1,rooftop,209,E 118th St,New York,NY,New York County,10035
2553,1.13E+13,3,BK,312,BROOKLYN COMMUNITY DISTRICT 12,5608,48,NESIVOS BAIS YAAKOV,1017-1021 45 St,11219,1106,K-12 School - Private/Parochial,K-12 School - Private/Parochial,K-12 School - Private,1,SCHOOLS,1,Educational Facilities,1c,Private/Parochial Elementary and Secondary Schools,1c06,Private/Parochial K-12 School,12,Private/Parochial Elementary and Secondary Schools,426,1,Day Care or Head Start Center Capacity,Children,NA,325,101,90,Proprietary,Private,50,NYS Education Department / Board of Regents ,NYSED,112,112,39,15,66,6700,3056080048,985453,172844,R,40.64097129,-73.995923,1,range_interpolation,1017-1021,45th St,Brooklyn,NY,Kings County,11219
20547,490280296,3,BK,317,BROOKLYN COMMUNITY DISTRICT 17,5104,53,HOLY CROSS CHURCH FOOD PANTRY,2530 Church Ave,11226,4902,Food Pantry,Food Pantry,Food Pantry,10,RESIDENTIAL FACILITIES AND FOOD PROGRAMS FOR ADULTS AND FAMILIES,5,Housing & Social Service Facilities,5e,Drop-In Centers for the Homeless and Food Programs,5.00E+02,Food Pantry,102,Food Programs and Drop-In Centers,NA,99,Not Applicable or Not Collected For This Facility Type,NA,NA,NA,NA,91,Not For Profit,NFP,99,NA,NA,794,794,40,17,67,5400,3051040053,997156,176200,L,40.65043438,-73.95352493,1,rooftop,2530,Church Ave,Brooklyn,NY,Kings County,11226
1564,1.03E+13,1,MN,107,MANHATTAN COMMUNITY DISTRICT 7,1230,1,PS 811 MICKEY MANTLE SCHOOL,466 W End Ave,10024,1007,Special School - Public,Special School - Public,Special School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a07,Public Special School,11,Public Elementary and Secondary Schools,320,1,Day Care or Head Start Center Capacity,Children,NA,294,26,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,171,171,6,3,20,3400,1012300001,990004,225759,L,40.78643212,-73.97941452,1,rooftop,466,W End Ave,New York,NY,New York County,10024
13317,327002137R9375,1,MN,111,MANHATTAN COMMUNITY DISTRICT 11,1745,55,FAMILY HEALTH CENTER OF HARLEM,1824 Madison Ave,10035,3202,Diagnostic and Treatment Center Extension Clinic,Diagnostic and Treatment Center Extension Clinic,Diagnostic and Trtmnt Ctr Ext Clinic,4,"NURSING HOMES, HOSPITALS, HOSPICES, AND AMBULATORY PROGRAMS",4,Hospitals & Health Service Facilities,4a,"Hospitals, Clinics, and EMS Facilities",4a04,Diagnostic and Treatment Center Extension Clinic,42,Ambulatory Facilities and Programs,NA,98,Unknown For This Record,NA,NA,NA,NA,91,Not For Profit,NFP,54,NYS Department of Health ,NYS DOH,184,184,9,5,25,2000,1017450055,999810,231419,L,40.80181129,-73.94370436,1,rooftop,1824,Madison Ave,New York,NY,New York County,10035
4412,15000B026,3,BK,302,BROOKLYN COMMUNITY DISTRICT 2,1956,25,CUYLER GORE PARK,"Carlton Ave., Fulton St., Green Ave.",NA,1511,Park/Playground - NYC,Park/Playground - NYC,NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c01,Park/Playground - NYC,22,Parklands,1.158,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,1.158,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,3019560025,992108,189094,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
19170,4100DC31890,3,BK,306,BROOKLYN COMMUNITY DISTRICT 6,998,1,NYC DEPARTMENT OF EDUCATION DISTRICT 13 P133K,211 8 St,11215,4103,Group Day Care - Corporate,Group Day Care - Corporate,Group Day Care - Corporate,8,DAYCARE AND RESIDENTIAL FACILITIES FOR CHILDREN,5,Housing & Social Service Facilities,5b,Childcare Facilities,5b03,Group Day Care - Corporate,82,Daycare and Headstart Facilities,NA,98,Unknown For This Record,NA,NA,NA,NA,90,Proprietary,Private,14,NYC Department of Health & Mental Hygiene ,NYC DOHMH,137,137,39,15,78,4600,3009980001,987687,183777,L,40.67087689,-73.98783221,1,rooftop,211,8th St,Brooklyn,NY,Kings County,11215
14496,356252019,5,SI,501,STATEN ISLAND COMMUNITY DISTRICT 1,37,43,SISTER MARY ASSISIUM RESIDENCE,382 Westervelt Ave,10301,3501,Congregate/Treatment - Mental Health,Congregate/Treatment - Mental Health,Res Mental Health Svc,6,MENTAL HEALTH SERVICES,4,Hospitals & Health Service Facilities,4e,Mental Health Facilities - Inpatient,4.00E+01,Congregate/Treatment,61,Mental Health Services - Residential,14,2,Certified Hospital Beds or Residential or Correctional Facility Beds,Beds,NA,NA,NA,91,Not For Profit,NFP,56,NYS Office of Mental Health ,NYS OMH,11,11,49,31,120,400,5000370043,961489,172011,R,40.63881077,-74.08187597,1,rooftop,382,Westervelt Ave,Staten Island,NY,Richmond County,10301
7734,15000R088,5,SI,502,STATEN ISLAND COMMUNITY DISTRICT 2,953,52,HIGH ROCK PARK,"Richmond Pkwy., Manor Rd., Summit Ave., Rockland Ave., and Moravian Cemetary",NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,94.1,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,94.1,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,5009530052,948694,152331,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
15037,360000714CC,4,QN,402,QUEENS COMMUNITY DISTRICT 2,2314,1,BLENDED CASE MANAGEMENT 6 (CHILDREN'S),60-02 Queens Blvd,11377,3612,Case Management - Blended or Intensive or Supportive - Mental Health,Case Management - Mental Health,Outp Mental Health Svc,6,MENTAL HEALTH SERVICES,4,Hospitals & Health Service Facilities,4f,Mental Health Facilities - Outpatient,4f09,Case Management - Blended or Intensive or Supportive,62,Mental Health Services - Non-Residential,NA,98,Unknown For This Record,NA,NA,NA,NA,91,Not For Profit,NFP,14,NYC Department of Health & Mental Hygiene ,NYC DOHMH,245,245,26,30,108,920,4023140001,1010444,209188,L,40.7417112,-73.90631396,1,range_interpolation,60-002,Queens Blvd,Woodside,NY,Queens County,11377
18479,4100DC2587,1,MN,107,MANHATTAN COMMUNITY DISTRICT 7,1210,47,THE BROWNSTONE SCHOOL AND DAY CARE CENTER,128 W 80 St,10024,4102,Group Day Care - Private,Group Day Care - Private,Group Day Care - Private,8,DAYCARE AND RESIDENTIAL FACILITIES FOR CHILDREN,5,Housing & Social Service Facilities,5b,Childcare Facilities,5b02,Group Day Care - Private,82,Daycare and Headstart Facilities,84,1,Day Care or Head Start Center Capacity,Children,NA,NA,NA,90,Proprietary,Private,14,NYC Department of Health & Mental Hygiene ,NYC DOHMH,165,165,6,3,20,3500,1012100047,990775,224542,L,40.78308881,-73.97636458,1,rooftop,128,W 80th St,New York,NY,New York County,10024
9524,15000QZ876,4,QN,408,QUEENS COMMUNITY DISTRICT 8,NA,NA,GREENSTREET,75 Ave bet 188 St & 187 St,NA,1515,Joint NYCDOT/DPR Landscaped Area (Greenstreet),Joint NYCDOT/DPR Landscaped Area,Greenstreet,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c04,Joint NYCDOT/DPR Landscaped Area (Greenstreet),22,Parklands,0.047,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.047,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,24,NYC Department of Transportation ,NYC DOT,NA,NA,NA,NA,NA,NA,NA,1044499,205720,L,40.72508021,-73.98424407,1,range_interpolation,75,Ave A,New York,NY,New York County,10009
4602,15000M308,1,MN,101,MANHATTAN COMMUNITY DISTRICT 1,142,30,WASHINGTON MARKET PARK,Chambers St. bet.ween Greenwich St. and West St.,NA,1511,Park/Playground - NYC,Park/Playground - NYC,NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c01,Park/Playground - NYC,22,Parklands,2.15,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,2.15,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,1001420030,980997,200560,L,40.717189,-74.012894,1,intersection,,Chambers St,New York,NY,New York County,10007
3138,15000BS40,3,BK,308,BROOKLYN COMMUNITY DISTRICT 8,1367,22,I.S. 394,Prospect Pl bet Utica Ave and Rochester Ave,NA,1511,Park/Playground - NYC,Park/Playground - NYC,NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c01,Park/Playground - NYC,22,Parklands,1.733,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,1.733,NA,NA,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,NA,NA,NA,NA,NA,NA,3013670022,1003968,184371,L,40.845881,-73.904753,1,street_center,,Prospect Pl,Bronx,NY,Bronx County,10457
17188,4100DC16740,3,BK,307,BROOKLYN COMMUNITY DISTRICT 7,5778,1,"COLONY SOUTH BROOKLYN HOUSES, INC.",140 58 St,11220,4101,Group Day Care - Public,Group Day Care - Public,Group Day Care - Public,8,DAYCARE AND RESIDENTIAL FACILITIES FOR CHILDREN,5,Housing & Social Service Facilities,5b,Childcare Facilities,5b01,Group Day Care - Public,82,Daycare and Headstart Facilities,52,1,Day Care or Head Start Center Capacity,Children,NA,NA,NA,91,Not For Profit,NFP,14,NYC Department of Health & Mental Hygiene ,NYC DOHMH,18,18,38,20,72,4400,3057780001,976703,174341,L,40.64496712,-74.02389,1,rooftop,140,58th St,Brooklyn,NY,Kings County,11220
15931,3766890440,3,BK,316,BROOKLYN COMMUNITY DISTRICT 16,3595,49,PAUL J. COOPER CTR FOR HUMAN SVCS,882 Saratoga Ave,11212,3703,Individualized Residential Alternative - Developmental Disability,Community Residence - Dev Disability,Res Dev Disability Svc,7,DEVELOPMENTAL DISABILITIES SERVICES,4,Hospitals & Health Service Facilities,4g,Developmental Disabilities Service Facilities - Inpatient,4g03,Individualized Residential,71,Developmental Disabilities Services - Residential,7,2,Certified Hospital Beds or Residential or Correctional Facility Beds,Beds,NA,NA,NA,91,Not For Profit,NFP,57,NYS Office for People with Developmental Disabilities ,NYS OPWDD,894,894,42,23,73,5820,3035950049,1007793,179370,R,40.65900392,-73.91499093,1,rooftop,882,Saratoga Ave,Brooklyn,NY,Kings County,11212
6753,15000B471,3,BK,305,BROOKLYN COMMUNITY DISTRICT 5,4191,45,GREEN GEMS,Glenmore Ave. and Fountain Ave.,NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,0.494,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.494,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,3041910045,1018943,185759,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
11087,15000MZ323,1,MN,103,MANHATTAN COMMUNITY DISTRICT 3,NA,NA,GREENSTREET,Grand St & Pitt St,NA,1515,Joint NYCDOT/DPR Landscaped Area (Greenstreet),Joint NYCDOT/DPR Landscaped Area,Greenstreet,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c04,Joint NYCDOT/DPR Landscaped Area (Greenstreet),22,Parklands,0.01,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.01,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,24,NYC Department of Transportation ,NYC DOT,NA,NA,NA,NA,NA,NA,NA,988574,199862,L,40.71521,-73.984258,0.79,intersection,,Grand St,New York,NY,New York County,10002
20203,490284887,4,QN,412,QUEENS COMMUNITY DISTRICT 12,12367,234,NATIONAL SORORITY OF PHI DELTA KAPPA,117-08 Merrick Blvd,11434,4902,Food Pantry,Food Pantry,Food Pantry,10,RESIDENTIAL FACILITIES AND FOOD PROGRAMS FOR ADULTS AND FAMILIES,5,Housing & Social Service Facilities,5e,Drop-In Centers for the Homeless and Food Programs,5.00E+02,Food Pantry,102,Food Programs and Drop-In Centers,NA,99,Not Applicable or Not Collected For This Facility Type,NA,NA,NA,NA,91,Not For Profit,NFP,99,NA,NA,282,282,27,28,113,3400,4123670234,1046702,189502,L,40.68669392,-73.77469512,1,rooftop,117-008,Merrick Blvd,Jamaica,NY,Queens County,11434
15635,3771500519,4,QN,412,QUEENS COMMUNITY DISTRICT 12,12546,229,FREE,176-09 133 Ave,11434,3703,Individualized Residential Alternative - Developmental Disability,Community Residence - Dev Disability,Res Dev Disability Svc,7,DEVELOPMENTAL DISABILITIES SERVICES,4,Hospitals & Health Service Facilities,4g,Developmental Disabilities Service Facilities - Inpatient,4g03,Individualized Residential,71,Developmental Disabilities Services - Residential,6,2,Certified Hospital Beds or Residential or Correctional Facility Beds,Beds,NA,NA,NA,91,Not For Profit,NFP,57,NYS Office for People with Developmental Disabilities ,NYS OPWDD,334.01,33401,27,29,113,3532,4125460229,1049310,186102,R,40.67714208,-73.76540885,1,rooftop,176-009,133rd Ave,Jamaica,NY,Queens County,11434
16383,3861050346,3,BK,318,BROOKLYN COMMUNITY DISTRICT 18,8393,1,ASSN F/HELP OF RETARDED CHILD.,7103 Ave T,11234,3802,Day Training - Developmental Disability,Day Training - Dev Disability,Outp Dev Disability Svc,7,DEVELOPMENTAL DISABILITIES SERVICES,4,Hospitals & Health Service Facilities,4h,Developmental Disabilities Service Facilities - Outpatient,4h02,Day Training,72,Mental Retardation and Developmental Disabilities Services - Non-Residential,NA,98,Unknown For This Record,NA,NA,NA,NA,91,Not For Profit,NFP,57,NYS Office for People with Developmental Disabilities ,NYS OPWDD,696.02,69602,46,22,63,8822,3083930001,1009366,166067,L,40.62133324,-73.90909045,1,range_interpolation,7103,Ave T,Brooklyn,NY,Kings County,11234
8740,15000R027,5,SI,503,STATEN ISLAND COMMUNITY DISTRICT 3,7765,1,LONG POND PARK,"Page Ave., Hylan Blvd., and Amboy Rd.",NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,91.948,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,91.948,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,5077650001,920737,126377,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
3904,15000X243,2,BX,203,BRONX COMMUNITY DISTRICT 3,2608,54,ESTELLA DIGGS PARK,3 Av to Fulton Av bet. E 167 St and E 168 St,NA,1511,Park/Playground - NYC,Park/Playground - NYC,NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c01,Park/Playground - NYC,22,Parklands,0.903,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.903,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,2026080054,1010244,241226,L,40.72238533,-73.98619467,1,range_interpolation,3,Ave A,New York,NY,New York County,10009
6817,15000B467,3,BK,305,BROOKLYN COMMUNITY DISTRICT 5,4000,31,FLORAL VINEYARD,Pitkin Ave. and Cleveland St.,NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,0.107,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.107,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,3040000031,1016264,184764,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
